aardvark,n. s-ambane /t-
addrdwolf,n. si-ngci /ti-.
abandon, v.t.# (ku)-shiya# (ku)yekela# (ku)-lahla
abate, v.i. (as rain)-(ku)-khawuka # (as floods)  (ku)-bohla.
abattoir, n. (at/in/to/from the ~) ema-dzeleni 
abbreviate,v.t (ku)-nciphisa# (ku)-finyeta
abdomen,n. si-su /ti-
abduct,v.t. (ku)-tfumba
abhor#,v.t. (kw)-enyanya# (ku)-casukela# (ku)-tondza
ability,n. li-khono# bu-cwecwe
able,a. (be~to)v. -kwati
abolish,v.t. (ku)-chita# (ku)-cedza
abortion,n. ku-khipha sisu# (of animals) ku-phunta
about,conj. nge-/nga; mayelana ne-/na- (+ n./pr.)
above,adv. etulu; eti kwe-/kwa--(+n./pr.)
abrasion,n. um-hhudluko /ini-
abroad,adv. phesheya
abscess,n. li-tfumba /ema-
absence,n. lu-ngabikho
absent-minded,a. (become/be~)# (ku)-lutseka/-lutsekile (v.i.)# (~person) n. si-kholwa /ti-
absolutely,adv. impela# ngalokwenele
absolve,v.t. (ku)-tsetselela
absorb,v.t. (ku)-munya
abstain,(from v.t. (ku)-tila
absurd,a. -ngakhohlweki
abundance,n. bu-nengi# (~ of food) i-nala
abundant,a. (become/be ~)# (ku)-vama/-vamile v.i.
acacia,n. umu-nga /imi-
accelerate,v. (ku)-phangisa# (ku)-gijimisa
accentuate,v.t. (ku)-gcizelela
accept,v.t. (kw)-emukela
accident,n. ingoti /tin-
accommodation,n. in-dzawo yekulala
accompany,v.t (ku)-pheleketela# (ku)-hamba ne-/na- (+ n./pr.); (~ to) (ku)-mikisa
account,n. i-akhawunti /ema- (report) in-dzaba /tin-
accumulate,v.t. (ku)-butsela
accurate,a. (be ~) (ku)-lunga/-lungile  v.i.
accusation,n. li-cala lelibekwako
accuse,v.t. (ku)-beka licalal# (ku)-tfwesa licala# (~ of witchcraft) (ku)-nuka
accused,n. um-mangalelwa /ba-
accuser,n. si-mangali /ti-
accustomed,(get/be ~ to) v. (kw)-etayla /-eayela; (kw)-ejayela/-ejayele
ache,v.i. (ku)-futsa
achieve,v.t. (ku)-phumelela
achievement,n. imphumelelo tim-
acknowledge,v.t. (ku)-vuma
acne,n. ema-jini
acquaint,v.t. (kw)-atisa (be acquainted with ) (kw)-ati
acquaintance,n. 1. (person) s-atane /t-. 2. (knowledge) kw-ati
acquire,v.t. (ku)-ftola
acquit,v.t. (ku)-khipha ecaleni
acre,n. li-yeka /ema-
across,adv. ngesheya kwe-/kwa- (+ n.pr.)
act,n. s-ento /t-# (of a play) in--khundla / tin-
act,v. (kw)-enta (in a play) (ku)-dlala
action,n. s-ento /t-# (legal ~) si-mangalo /ti-
activity,n. bu-khuphekhuphe
actor,n. um-dlali /ba-
actually,adv. impela# phela# sibili
acute,a. (become/be ~) (ku)-dlanga/dlanigile; -cijile v.i.
add,v.t. (ku)-hlanganisas# (ku)-eda# (~onto) (kw)-engeta
address,n. li-kheli /ema# (speech) in-khulumo /tin-
adenoids,n. ema-kaka
adequate,a. (be) (kw)-enela/-enele v.i
adequately,adv. ngalokwenele
adhere,v. (ku)-namatsela
adjective,n. si-phawulo /ti-
adjudicate,v.t. (kw)-ehlulela
adjust,v.t. (ku)-hlela# (ku)-lungisa
administer,v.t. (serve out) (ku)-pha# (manage) (ku)-phatsa
administrator,n. um-phatsi /ba-
admire,v.t. (ku)-babata
admit,v.t. (let in) (ku)-ngenisa# (agree) (ku)-vuma
admonish,v.t. (ku)-khuta
adopt,v.t. (ku)-tfola# (an idea) (kw)-emukela
adore,v.t. (ku)-tsandzisisa
adult,n. lo-khulile / laba (rel.)
adultery,n. ku-phinga
advance,v.i. (ku)-chubeka
advancement,n. in-tfutfuko
advantage,n. lu-sito /tin-
adverb,n. s-andziso /t-
advertisement,n. s-atiso /t-
advice,n. s-eluleko /t-
advisable,(be) v.(ku)-fanele
advise,v.t. (kw)-eluleka
adviser,n. um-eluleki /b-
advocate,n. um-meli /ba-
aeroplane,n. in-diza /tin-# im-fulamishini .tim-
affair,n. in-dzaba /tin-
affection,n. lu-tsandvo
affidavit,n. ema-gama labhaler lafungelwe
affirm,v.t. (ku)-cinisa
affix,v.t. (ku)-namatselisa
afflicted,(become/be) v. (ku)-phatfwa/-phetfwe
affray,n. si-dvumo /ti-
afraid,(be) v. (kw)-esaba
Africa,n. i-Afrika
African,n. li-Afrika /ema-
Afrikaans,n. si-Bhunu
Afrikanner,n. li-Bhunu /ema-
after,adv. emuva kwe-kwa- (+n./pr.)
afternoon,n. in-tsambama /tin-
afterwards,adv. ngemuva
again,adv. futsi
against,adv. l. (alongside) eceleni ne-/na- (+n./pr.)# (be/be contrary to) v. (ku)-phambana ne-/na- (+n./pr.)
age,n. bu-dzala (what is your ~?) unrminyaka lrmingakhi? (I am 30 years of ~) iminyaka yami ingu -30
agent,n. um-phatseli /ba-
agitate,v.t. l. (stir) (ku)--tamatisa# (arouse protest) (ku)-susa lutfuli
agitator,n. umm-susi welutfuli
agony,n. bu-hlungu loboukhulu
agree,v. (ku)-vuma
agreement,n. si-vumelwane /ti-
agressor,n. um-cali /ba-# um-sukeli /ba-
aagriculture,n. ku-lima
ahead,adv. embili
aid,n. lu-sito /tin-
aid,v.t. (ku)-sita# (ku)-ncedza
ailment,n. si-fo /ti-
aim,v.t. (ku)-khomba
aim,n. in-jongo /tin-# in-hloso /tin-
air,n. u-moya (cl. la or 3)
airmail,n. li-posi lemoya# (by ~) ngendiza
airport,n. li-epoti /ema-# (to/from#/at the ~) e-epoti
alarm,v.t. (kw)-eftusa
alarm,n. um-khosi /imi-. (raise the ~) (ku)-hlaba ~
alas,interj. maye!
alcohol,n. i-alkoholi
alcoholic,a. -dzakisako (v.rel.st.); n. si-dzakwa /ti-
alert,a. (become/be ~) (ku)-phaphama/-phapheme v.i.
alighnment,n. lu-hlelo loluvumelanako
alight,a. (catch~) (k)-okheleka v.i.
alight,v.i (kw)-ehla# (kw)-ehlika
alike,a. (be~) (ku)-fana# (ku)-fanana v.i.
alive,a. (be~) (ku)-phila v.i.
all,quant. pr. -onkhe (wonkhe# bonkhe). all the time: ngesikhatsi sonkhe. all of it: konkhe. be all right :  (ku)-lunga/-lungile v.i.
alleviate,v.t. (ku)-dzambisa
allocate,v.t (kw)-abela# (kw)-ehlukanisela
allow,v.t (ku)-vumela
almighty,n. Somandla
almost,adv. cishe 
aloe,n in-hlaba /tin-
alone,quant. pr. -odvwa# -edvwa
alongside,adv. eceleni 
lotment,n. s-abelo /t-
alphabet,n. i-alfabhethi /ema-
already,adv. se-
alright,a. (be~) (ku)-lunga/-lungile v.i.
also,adv. futsi; ne-/na- 
altar,n. li-lathi /ema
alter,v.i. (ku)-gucula# (ku)-phendvula
alternately,adv. ngekukhweshelana
although,conj. noma
altitude,n. (ku)-phakama
always,adv. njalo; tonkhe tikhatsi
amalgamate,v.t. (ku)-hlanganisela; v.i. (ku)-hlanganiselana
amalgamation,n. in-hlanganisela /tin-
amaze,v.t. (ku)-mangalisa
ambassador,n. li-ncusa /ema-
ambulance,n i-ambulesi /ema-
ambush,v.t. (ku)-lalela. ~and kill: (ku)-sontsa
amend,v.t. (ku)-gucula# (ku)-lungisa
amendment,n. si-lungiso /ti-
America,n. e-Melika loc. n.
American,n. li-Melika /ema-
amnesty,n. ku-colelwa
amount,n. bu-ngako. large ~: bu-nengi# bu-nyenti
amputate,v.t. (ku)-ncuma# (ku)-juba.
amuse,v.t. (ku)-dlalisa# (ku)-hlekisa
analyse,v.t. (ku)-hlahlela
anatomy,n. si-mo semtimba
ancestor,n. khokho /bo-
ancestral,spirit n. li-dloti /ema-
and,conj.f. ne-/na-
angel,n. in-gilosi /tin-
anger,n. lu-laka
angle,n. li-gumbi /ema-
angry,a. (get/be~) (ku)-ftukutsela/-ftukutsele
animal,n. si-lwane /ti-
ankle,n. in-chotolwane /tin-# li-cakala /ema-# si-hlakala /ti-
annihilate,v.t. (ku)-sitila# (ku)-bhubhisa
announcer,n. um-sakati /ba-
announcement,n. si-memetelo /ti-
annoy,v.t. (ku)-hlupha# (ku)-casula# (ku)-caukisa
annual,a. -(e)mnyaka
anoint,v.t. (ku)-gcobisa# (ku)-bhoca# (ku)-nindza
another,a. -nye. ~person: lomunye
answer,n. im-phendvulo /tim-
answer,v.t. (ku)-phendvula
ant,n. in-tfutfwane /tin-
ant-bear,n. s-ambane /t-
antelope,n. i-nyamatane /ti-
ant-heap,n. si-dvuli /ti-
anthrax,n. mbedzeni
anticipate,v.t. (kw)-andvulela# (ku)-lindzela
antidote,n. si-biba /ti-
antiseptic,n. si-ncandakuvundza /ti
anus,n. um-dzidzi /imi-# in-duze/tin-# li-golo/ema- (also =vagina)
anxiety,n. lu-valo/tim-
anxious,a. (be ~) (ku)-shiseka v.i.
anyhow,adv. ngaphandle kwekunaka. (inevitably) nakanjani
anyone,n. noma ngubani
anything,n. noma yini. 
anywhere,adv. nakuphi-nakuphi
apart,adv. ngekwehlukana
ape,n. in-gobiyane /tin-
aperture,n. i-mbobo /ti-# in-tfunja /tin-
apex,n. si-congo /ti-
apologise,v.i. (ku)-colisa
apostle,n. um-phostoli /ba-
apparent,a. (be~) (ku)-bonakala# (ku)-khanya v.i.
appeal,v.i. (ku)-khala#. (~ at court: (kw)-endlulisa
appeal,court n. in-kantolo yekwendlulisa emacala
appear,v.i. (ku)-chamuka# (ku)-vela
appease,v.i. (ku)-dvudvuta
appendix,n. li-tfunjana /ema-
arrival,n. ku-fika
arrive,v.i. (ku)-fika
arrow,n. vu-tjoki (also = bow)
arson,n. li-cala lekushisa tindlu
artery,n. um-tsambo /imi-
article,n. intfo /tin-
asbestos,n. li-tjeboya
ascend,v. (ku)-khuphuka# (kw)-enyuka# (ku)-khwela
ash,n. um-lotsa /imi-
ashamed,a. -nemahloni 
ask,v.t. (ku)-buta# (ask for): (ku)-cela
asleep,a. (be~) -lele v.i. (stat. perf. st.)
aspect,n. si-bonakalo /ti-
ass,n. i-mbogolo /ti-
assailant,n. um-sukeli /ba-
assault,v.t. (ku)-gebenga# (ku)-sukela. (~sexually: (ku)-dludluluta# (ku)-dlwegnula
assemble,v.i. (ku)-hlangana# v.t. (ku)-butsana# (ku)-hlanganisa
assembly,n. um-butsano /imi-
assert,v.t (ku)-cinisa
assess,v.t. (ku)-linganisa# (ku)-ncuma
assessor,n. um-sekeli welijaji
assets,n. ti-mphahla lonato
assist,v.t. (ku)-sita# (ku)-ncedza
assistance,n. lu-sito /tin-
assistant,n. um-siti /ba-# li-sekela/ ema-. (shop~_: um-tsengeli /ba-
association,n. in-hlangano /tin-
assurance,n. li-tsemba /ema-;
assure,v.t. (kw)-etsembisa
asthma,n. si-fuba semoya
stonish,v.t. (ku)-mangalisa
astray,a. (go~) (ku)-lahleka#
astronomy,n. si-fundvo ngesi-bhakabhaka
asylum,n. 1. (refuge): um-tfunti wekubalekela # 2. (menal ~): si-bhedlela setinhlanya
at,prep. 1. en-# 2. ku-# 3. nga-/nge-/# 4. ka-
atmosphere,n. umoya lombonye umhlaba
atrocity,n. bu-dlova lobusabekako
attach,v.t. (ku)-hlanganisa
attack,v.t. (ku)-sukela# (ku)-hlasella# (ku)-dvumela
attacker,n. um-sukeli /ba-
attain,v.t. (ku)-finyelela
attempt,n. um-etamo /im-
attempt,v.t. (kw)-etama# (ku)-linga
